| column_name                | data_type                   | is_nullable |
| -------------------------- | --------------------------- | ----------- |
| id                         | uuid                        | NO          |
| org_id                     | uuid                        | NO          |
| status                     | text                        | YES         |
| created_at                 | timestamp without time zone | YES         |
| updated_at                 | timestamp without time zone | YES         |
| company_name               | text                        | NO          |
| legal_name                 | text                        | YES         |
| former_names               | ARRAY                       | YES         |
| company_type               | text                        | YES         |
| year_founded               | integer                     | YES         |
| legal_structure            | text                        | YES         |
| incorporation_country      | text                        | YES         |
| incorporation_jurisdiction | text                        | YES         |
| website                    | text                        | YES         |
| description                | text                        | YES         |
| headquarters_country       | text                        | YES         |
| headquarters_city          | text                        | YES         |
| operating_countries        | ARRAY                       | YES         |
| operating_regions          | ARRAY                       | YES         |
| number_of_locations        | integer                     | YES         |
| office_locations           | ARRAY                       | YES         |
| industry                   | text                        | YES         |
| sub_industries             | ARRAY                       | YES         |
| industry_verticals         | ARRAY                       | YES         |
| technology_themes          | ARRAY                       | YES         |
| business_model             | text                        | YES         |
| revenue_model              | ARRAY                       | YES         |
| customer_type              | ARRAY                       | YES         |
| latest_revenue             | numeric                     | YES         |
| revenue_currency           | text                        | YES         |
| revenue_as_of_year         | integer                     | YES         |
| profitability_status       | text                        | YES         |
| ebitda_margin_range        | text                        | YES         |
| ownership_type             | text                        | YES         |
| stake_percent              | numeric                     | YES         |
| co_investors_present       | boolean                     | YES         |
| capital_structure_notes    | text                        | YES         |
| board_seats                | integer                     | YES         |
| board_control              | text                        | YES         |
| founder_led                | boolean                     | YES         |
| professional_management    | boolean                     | YES         |
| key_person_dependency_flag | boolean                     | YES         |
| esg_policy_exists          | boolean                     | YES         |
| esg_policy_public          | boolean                     | YES         |
| esg_policy_url             | text                        | YES         |
| regulatory_issues_flag     | boolean                     | YES         |
| litigation_flag            | boolean                     | YES         |
| data_privacy_policy        | boolean                     | YES         |
| cyber_security_policy      | boolean                     | YES         |
| exit_status                | text                        | YES         |
| exit_type                  | text                        | YES         |
| exit_year                  | integer                     | YES         |
| exit_multiple_range        | text                        | YES         |
| exit_notes                 | text                        | YES         |
| recent_acquisition         | boolean                     | YES         |
| recent_funding_round       | boolean                     | YES         |
| management_change_flag     | boolean                     | YES         |
| strategy_shift_detected    | boolean                     | YES         |
| last_updated_on            | timestamp without time zone | YES         |
| last_updated_by            | text                        | YES         |
| last_update_notes          | text                        | YES         |
| update_trigger             | text                        | YES         |
| assigned_to                | text                        | YES         |
