| column_name                        | data_type                   | is_nullable |
| ---------------------------------- | --------------------------- | ----------- |
| id                                 | uuid                        | NO          |
| org_id                             | uuid                        | NO          |
| status                             | text                        | YES         |
| created_at                         | timestamp without time zone | YES         |
| updated_at                         | timestamp without time zone | YES         |
| sp_name                            | text                        | NO          |
| sp_legal_name                      | text                        | YES         |
| former_names                       | ARRAY                       | YES         |
| sp_category                        | text                        | YES         |
| legal_structure                    | text                        | YES         |
| year_established                   | integer                     | YES         |
| primary_jurisdiction               | text                        | YES         |
| secondary_jurisdictions            | ARRAY                       | YES         |
| registration_numbers               | ARRAY                       | YES         |
| regulatory_status                  | text                        | YES         |
| description                        | text                        | YES         |
| headquarters_country               | text                        | YES         |
| headquarters_city                  | text                        | YES         |
| operating_countries                | ARRAY                       | YES         |
| operating_regions                  | ARRAY                       | YES         |
| number_of_offices                  | integer                     | YES         |
| office_locations                   | ARRAY                       | YES         |
| primary_services                   | ARRAY                       | YES         |
| secondary_services                 | ARRAY                       | YES         |
| asset_class_expertise              | ARRAY                       | YES         |
| fund_stage_coverage                | ARRAY                       | YES         |
| client_type_focus                  | ARRAY                       | YES         |
| total_employees                    | integer                     | YES         |
| relevant_team_size                 | integer                     | YES         |
| years_in_private_markets           | integer                     | YES         |
| number_of_funds_served             | integer                     | YES         |
| number_of_gps_served               | integer                     | YES         |
| top_clients_disclosed              | boolean                     | YES         |
| notable_clients                    | text                        | YES         |
| engagement_model                   | text                        | YES         |
| pricing_transparency_level         | text                        | YES         |
| cross_border_support               | boolean                     | YES         |
| esg_policy_exists                  | boolean                     | YES         |
| esg_policy_public                  | boolean                     | YES         |
| esg_policy_url                     | text                        | YES         |
| conflict_of_interest_policy_exists | boolean                     | YES         |
| independence_policy_exists         | boolean                     | YES         |
| data_privacy_policy                | boolean                     | YES         |
| cyber_security_policy              | boolean                     | YES         |
| regulatory_breaches_flag           | boolean                     | YES         |
| litigation_flag                    | boolean                     | YES         |
| client_churn_flag                  | boolean                     | YES         |
| reputational_event_flag            | boolean                     | YES         |
| insurance_coverage_present         | boolean                     | YES         |
| preferred_by_gps                   | boolean                     | YES         |
| preferred_by_lps                   | boolean                     | YES         |
| panel_approved                     | boolean                     | YES         |
| panel_name                         | text                        | YES         |
| recent_client_win                  | boolean                     | YES         |
| recent_client_loss                 | boolean                     | YES         |
| service_expansion_flag             | boolean                     | YES         |
| geographic_expansion_flag          | boolean                     | YES         |
| regulatory_event_flag              | boolean                     | YES         |
| last_updated_on                    | timestamp without time zone | YES         |
| last_updated_by                    | text                        | YES         |
| last_update_notes                  | text                        | YES         |
| update_trigger                     | text                        | YES         |
| assigned_to                        | text                        | YES         |
